,Name,Nationality,Age,Height,Stance,Weight Division,Wins,Wins By KO,"Knockout, %",Losses,Draws,Debut
533,Hassan N’Dam,Cameroon,40,180,orthodox,Middleweight,38,21,55,6,0,2004
534,Masayoshi Nakatani,Japan,35,182,orthodox,Lightweight,20,14,70,3,0,2011
535,Junto Nakatani,Japan,26,170,southpaw,Bantamweight,29,22,76,0,0,2015
536,Jeremia Nakathila,Namibia,35,183,orthodox,Lightweight,23,19,83,3,0,2013
537,Omar Andres,Argentina,49,159,southpaw,Bantamweight,49,25,51,4,2,2000
538,Juan Hernandez,Mexico,37,159,orthodox,Bantamweight,37,28,76,4,0,2004
539,Emanuel Navarrete,Mexico,29,170,orthodox,Super Featherweight,39,32,82,2,1,2012
540,Steven Nelson,United States,36,178,orthodox,Super Middleweight,20,16,80,0,0,2016
541,Luis Nery,Mexico,30,165,southpaw,Super Bantamweight,35,27,77,2,0,2012
542,Francis Ngannou,Cameroon,38,193,orthodox,Heavyweight,0,0,0,2,0,2023
543,Demond Nicholson,United States,31,183,orthodox,Super Middleweight,26,22,85,6,1,2013
544,Skye Nicolson,Australia,29,166,southpaw,Featherweight,12,1,8,0,0,2022
545,Micki Nielsen,Denmark,31,190,southpaw,Cruiserweight,25,15,60,2,0,2011
546,Donnie Nietes,Philippines,42,160,orthodox,Super Flyweight,43,23,53,2,6,2003
547,Ryosuke Nishida,Japan,28,170,southpaw,Bantamweight,10,2,20,0,0,2019
548,Thammanoon Niyomtrong,Thailand,34,155,orthodox,Minimumweight,25,9,36,1,0,2012
549,Sam Noakes,United Kingdom,27,173,orthodox,Lightweight,16,14,88,0,0,2019
550,Sivenathi Nontshinga,South Africa,26,165,orthodox,Jr Flyweight,13,10,77,2,0,2017
551,Brian Norman,United States,24,173,orthodox,Welterweight,26,20,77,0,0,2018
552,Abraham Nova,United States,30,175,orthodox,Super Featherweight,23,16,70,3,1,2016
553,Ricardo Nunez,Panama,31,168,orthodox,Lightweight,25,22,88,6,0,2010
554,Eduardo Nunez,Mexico,27,168,orthodox,Super Featherweight,27,27,100,1,0,2015
555,Tyrone Nurse,United Kingdom,34,180,orthodox,Super Lightweight,37,7,19,7,2,2008
